iter	Passed	Remaining
0	3	759
1	7	703
2	10	679
3	13	667
4	16	651
5	20	648
6	23	644
7	26	636
8	29	633
9	33	630
10	36	624
11	39	620
12	42	616
13	45	611
14	49	606
15	52	603
16	53	573
17	56	570
18	59	569
19	63	567
20	66	564
21	69	562
22	72	559
23	75	556
24	79	554
25	82	552
26	85	549
27	89	546
28	92	543
29	95	540
30	98	538
31	102	535
32	105	532
33	108	529
34	111	527
35	115	524
36	118	521
37	121	517
38	124	514
39	128	512
40	131	509
41	134	506
42	138	504
43	141	500
44	144	498
45	148	495
46	151	492
47	154	488
48	157	485
49	160	482
50	164	479
51	167	476
52	170	472
53	173	469
54	176	466
55	180	462
56	183	459
57	186	456
58	189	453
59	192	450
60	196	447
61	199	444
62	202	440
63	206	437
64	209	434
65	212	431
66	215	428
67	218	424
68	222	421
69	225	418
70	228	415
71	232	412
72	235	409
73	239	406
74	242	404
75	246	401
76	249	398
77	252	395
78	256	392
79	259	389
80	262	386
81	266	383
82	269	379
83	272	376
84	276	373
85	279	370
86	283	368
87	286	364
88	289	361
89	293	358
90	297	355
91	300	352
92	310	357
93	314	355
94	318	351
95	321	348
96	325	345
97	328	341
98	331	338
99	335	335
100	338	331
101	342	328
102	345	325
103	348	321
104	352	318
105	355	315
106	358	311
107	361	308
108	364	304
109	368	301
110	371	297
111	374	294
112	377	290
113	381	287
114	384	284
115	387	280
116	391	277
117	395	274
118	398	271
119	401	267
120	405	264
121	408	261
122	411	257
123	414	254
124	418	250
125	421	247
126	424	243
127	427	240
128	431	237
129	434	233
130	437	230
131	440	227
132	444	223
133	447	220
134	450	216
135	453	213
136	457	210
137	460	206
138	463	203
139	466	200
140	469	196
141	473	193
142	476	189
143	479	186
144	482	183
145	485	179
146	489	176
147	492	173
148	495	169
149	498	166
150	501	162
151	505	159
152	509	156
153	513	153
154	517	150
155	522	147
156	526	144
157	530	141
158	535	138
159	538	134
160	541	131
161	545	128
162	549	124
163	552	121
164	556	117
165	559	114
166	562	111
167	566	107
168	569	104
169	573	101
170	576	97
171	579	94
172	583	91
173	586	87
174	589	84
175	593	80
176	597	77
177	600	74
178	604	70
179	607	67
180	611	64
181	615	60
182	618	57
183	621	54
184	625	50
185	628	47
186	632	43
187	636	40
188	639	37
189	643	33
190	646	30
191	649	27
192	653	23
193	656	20
194	660	16
195	663	13
196	667	10
197	670	6
198	674	3
199	677	0
