sampled_date;sampling_point;r_sample_point;product;R_NO_ELABORACION;SAMPLE_NUMBER;analysis;name;FORMATTED_ENTRY;PRODUCT_GRADE;STAGE;T_TEST_METHOD;DISPLAY_STRING
2024-06-08 07:00:37.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618621;R-DENSI_15;Densidad a 15ºC;0.7694;ENTRADAO700;NONE;ASTM_D_4052;g/ml
2024-06-08 07:00:37.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618621;R-PONA;Aromáticos;14.6;ENTRADAO700;NONE;ASTM_D_6730;% v/v
2024-06-08 07:00:37.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618621;R-PONA;Benceno;0.00;ENTRADAO700;NONE;ASTM_D_6730;% v/v
2024-06-08 07:00:37.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618621;R-PONA;Equipo;EQUIPO_I_GC;ENTRADAO700;NONE;ASTM_D_6730;-
2024-06-08 07:00:37.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618621;R-PONA;Nafténicos;43.3;ENTRADAO700;NONE;ASTM_D_6730;% v/v
2024-06-08 07:00:37.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618621;R-PONA;Olefinas;<0.1;ENTRADAO700;NONE;ASTM_D_6730;% v/v
2024-06-08 07:00:37.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618621;R-PONA;Parafínicos;42.1;ENTRADAO700;NONE;ASTM_D_6730;% v/v
2024-06-09 07:00:49.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618785;R-DENSI_15;Densidad a 15ºC;0.7581;ENTRADAD700;NONE;ASTM_D_4052;g/ml
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-DENSI_15;Densidad a 15ºC;0.7568;ENTRADAL700;NONE;ASTM_D_4052;g/ml
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;10% vol;110.5;ENTRADAL700;NONE;ASTM_D_7345;°C
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;20% vol;111.9;ENTRADAL700;NONE;ASTM_D_7345;°C
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;30% vol;113.4;ENTRADAL700;NONE;ASTM_D_7345;°C
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;40% vol;115.7;ENTRADAL700;NONE;ASTM_D_7345;°C
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;5% vol;110.1;ENTRADAL700;NONE;ASTM_D_7345;°C
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;50% vol;117.8;ENTRADAL700;NONE;ASTM_D_7345;°C
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;60% vol;121.3;ENTRADAL700;NONE;ASTM_D_7345;°C
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;70% vol;125.2;ENTRADAL700;NONE;ASTM_D_7345;°C
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;80% vol;131.7;ENTRADAL700;NONE;ASTM_D_7345;°C
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;90% vol;142.1;ENTRADAL700;NONE;ASTM_D_7345;°C
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;95% vol;154.4;ENTRADAL700;NONE;ASTM_D_7345;°C
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;IBP;107.6;ENTRADAL700;NONE;ASTM_D_7345;°C
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;Pérdidas;0.9;ENTRADAL700;NONE;ASTM_D_7345;% v/v
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;Punto Final;183.7;ENTRADAL700;NONE;ASTM_D_7345;°C
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;Residuo;1.1;ENTRADAL700;NONE;ASTM_D_7345;% v/v
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;Tipo;EVAPORADO;ENTRADAL700;NONE;ASTM_D_7345;-
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-MICRO_DES;Vol . Recuperado;98.0;ENTRADAL700;NONE;ASTM_D_7345;%
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-N_ANTEK;Nitrógeno;0.0;ENTRADAL700;NONE;ASTM_D_4629;ppm-w
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-S_RX;Azufre;1.9;ENTRADAL700;NONE;ASTM_D_7039;ppm
2024-06-10 07:01:30.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;618996;R-S_RX;Límite de detección y cuantificación;sin observaciones;ENTRADAL700;NONE;ASTM_D_7039;-
2024-06-10 19:00:00.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619113;R-DENSI_15;Densidad a 15ºC;0.7567;ENTRADA;NONE;ASTM_D_4052;g/ml
2024-06-10 19:00:00.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619113;R-S_RX;Azufre;0.0;ENTRADA;NONE;ASTM_D_7039;ppm
2024-06-10 19:00:00.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619113;R-S_RX;Límite de detección y cuantificación;valor por debajo del límite de detección (LD = 0.4 ppm);ENTRADA;NONE;ASTM_D_7039;-
2024-06-11 07:01:48.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619228;R-DENSI_15;Densidad a 15ºC;0.7569;ENTRADAO700;NONE;ASTM_D_4052;g/ml
2024-06-11 07:01:48.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619228;R-PONA;Aromáticos;10.0;ENTRADAO700;NONE;ASTM_D_6730;% v/v
2024-06-11 07:01:48.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619228;R-PONA;Benceno;<0.01;ENTRADAO700;NONE;ASTM_D_6730;% v/v
2024-06-11 07:01:48.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619228;R-PONA;Equipo;EQUIPO_II_GC;ENTRADAO700;NONE;ASTM_D_6730;-
2024-06-11 07:01:48.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619228;R-PONA;Nafténicos;42.2;ENTRADAO700;NONE;ASTM_D_6730;% v/v
2024-06-11 07:01:48.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619228;R-PONA;Olefinas;<0.1;ENTRADAO700;NONE;ASTM_D_6730;% v/v
2024-06-11 07:01:48.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619228;R-PONA;Parafínicos;47.7;ENTRADAO700;NONE;ASTM_D_6730;% v/v
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-DENSI_15;Densidad a 15ºC;0.7586;ENTRADAM700;NONE;ASTM_D_4052;g/ml
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-MICRO_DES;10% vol;111.0;ENTRADAM700;NONE;ASTM_D_7345;°C
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-MICRO_DES;20% vol;112.5;ENTRADAM700;NONE;ASTM_D_7345;°C
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-MICRO_DES;30% vol;114.8;ENTRADAM700;NONE;ASTM_D_7345;°C
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-MICRO_DES;40% vol;116.9;ENTRADAM700;NONE;ASTM_D_7345;°C
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-MICRO_DES;5% vol;110.5;ENTRADAM700;NONE;ASTM_D_7345;°C
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-MICRO_DES;50% vol;119.4;ENTRADAM700;NONE;ASTM_D_7345;°C
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-MICRO_DES;60% vol;123.3;ENTRADAM700;NONE;ASTM_D_7345;°C
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-MICRO_DES;70% vol;127.9;ENTRADAM700;NONE;ASTM_D_7345;°C
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-MICRO_DES;80% vol;134.6;ENTRADAM700;NONE;ASTM_D_7345;°C
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-MICRO_DES;90% vol;144.9;ENTRADAM700;NONE;ASTM_D_7345;°C
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-MICRO_DES;95% vol;156.9;ENTRADAM700;NONE;ASTM_D_7345;°C
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-MICRO_DES;IBP;107.4;ENTRADAM700;NONE;ASTM_D_7345;°C
2024-06-12 07:01:39.000;R-RFM_OCT;NULL;FONDO_2102E;NULL;619464;R-MICRO_DES;Pérdidas;0.9;ENTRADAM700;NONE;ASTM_D_7345;% v/v
